Rank,Fund,Category,Quality,Risk,RiskBand,Recommended,Expected Holding Period,Why
197,BANDHAN SMALL CAP FUND,Small Cap Fund,21,6,Conservative,No,5+ years,[-] Elevated trailing volatility | [-] Severe historical drawdown
198,Nippon India Value Fund,Value Fund,31,46,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Veteran manager with exceptional tenure
199,Axis Large & Mid Cap Fund,Large & Mid Cap Fund,24,26,Conservative,No,5+ years,[-] Fund size acting as a drag | [-] Elevated trailing volatility
200,Aditya Birla Sun Life Dividend Yield Fund,Dividend Yield Fund,50,35,Balanced,No,3-5 years,[-] Elevated trailing volatility | [-] Lagging past returns
201,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),Large Cap Fund,29,36,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
202,BANDHAN Flexi Cap Fund,Flexi Cap Fund,39,33,Balanced,No,3-5 years,[-] Fund size acting as a drag | [-] Elevated trailing volatility
203,quant ELSS Tax Saver Fund,ELSS,38,43,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Stable risk profile
204,CANARA ROBECO FLEXICAP FUND,Flexi Cap Fund,35,20,Conservative,No,5+ years,[-] Fund size acting as a drag | [-] Elevated trailing volatility
205,CANARA ROBECO SMALL CAP FUND,Small Cap Fund,16,50,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Stable risk profile
206,Tata ELSS Fund,ELSS,34,38,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
207,PGIM India Midcap Fund,Mid Cap Fund,24,42,Balanced,No,3-5 years,[-] Fund size acting as a drag | [-] Inconsistent hit rate
208,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund,Sectoral/ Thematic,25,14,Conservative,No,5+ years,[-] Elevated trailing volatility | [-] Severe historical drawdown
209,DSP Healthcare Fund,Sectoral/ Thematic,24,9,Conservative,No,5+ years,[+] Supported by a management team | [-] Inconsistent hit rate
210,SBI HEALTHCARE OPPORTUNITIES FUND,Sectoral/ Thematic,23,6,Conservative,No,5+ years,[-] Severe historical drawdown | [-] Elevated trailing volatility
211,Baroda BNP Paribas MULTI CAP FUND,Multi Cap Fund,29,29,Conservative,No,5+ years,[-] Elevated trailing volatility | [-] Relatively inexperienced manager
212,UTI Value Fund,Value Fund,23,39,Balanced,No,3-5 years,[-] Fund size acting as a drag | [-] Elevated trailing volatility
213,BANDHAN ELSS Tax Saver Fund,ELSS,31,60,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Stable risk profile
214,quant Multi Cap Fund,Multi Cap Fund,14,41,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Stable risk profile
215,Axis Midcap Fund,Mid Cap Fund,19,18,Conservative,No,5+ years,[-] Fund size acting as a drag | [-] Elevated trailing volatility
216,LIC MF Large & Mid Cap Fund,Large & Mid Cap Fund,20,33,Balanced,No,3-5 years,[-] Elevated trailing volatility | [-] Expensive TER
217,Sundaram Services Fund,Sectoral/ Thematic,22,47,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Stable risk profile
218,Union Large & Midcap Fund,Large & Mid Cap Fund,16,36,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Veteran manager with exceptional tenure
219,Nippon India Consumption Fund,Sectoral/ Thematic,21,24,Conservative,No,5+ years,[-] Elevated trailing volatility | [+] Favourable AUM / capacity
220,ICICI Prudential Manufacturing Fund,Sectoral/ Thematic,20,46,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Stable risk profile
221,ICICI Prudential Dividend Yield Equity Fund,Dividend Yield Fund,25,35,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
222,Mahindra Manulife ELSS Tax Saver Fund,ELSS,28,33,Balanced,No,3-5 years,[-] Elevated trailing volatility | [-] Inconsistent hit rate
223,Mahindra Manulife Large & Mid Cap Fund,Large & Mid Cap Fund,12,28,Conservative,No,5+ years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
224,Edelweiss Flexi Cap Fund,Flexi Cap Fund,30,36,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
225,Kotak Large Cap Fund,Large Cap Fund,25,33,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
226,quant Flexi Cap Fund,Flexi Cap Fund,26,32,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Supported by a management team
227,Mirae Asset Great Consumer Fund,Sectoral/ Thematic,18,28,Conservative,No,5+ years,[-] Elevated trailing volatility | [-] Severe historical drawdown
228,Kotak ELSS Tax Saver Fund,ELSS,25,36,Balanced,No,3-5 years,[-] Relatively inexperienced manager | [-] Elevated trailing volatility
229,Aditya Birla Sun Life Focused Fund,Focused Fund,29,37,Balanced,No,3-5 years,[-] Fund size acting as a drag | [-] Relatively inexperienced manager
230,CANARA ROBECO CONSUMPTION FUND,Sectoral/ Thematic,17,18,Conservative,No,5+ years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
231,DSP Midcap Fund,Mid Cap Fund,14,36,Balanced,No,3-5 years,[-] Fund size acting as a drag | [-] Relatively inexperienced manager
232,UTI ELSS Tax Saver Fund,ELSS,22,36,Balanced,No,3-5 years,[-] Elevated trailing volatility | [-] Severe historical drawdown
233,SBI Flexicap Fund,Flexi Cap Fund,22,38,Balanced,No,3-5 years,[-] Fund size acting as a drag | [-] Expensive TER
234,Aditya Birla Sun Life Consumption Fund,Sectoral/ Thematic,16,31,Balanced,No,3-5 years,[-] Relatively inexperienced manager | [-] Elevated trailing volatility
235,Aditya Birla Sun Life Manufacturing Equity Fund,Sectoral/ Thematic,15,16,Conservative,No,5+ years,[-] Relatively inexperienced manager | [-] Elevated trailing volatility
236,Union ELSS Tax Saver Fund,ELSS,19,31,Balanced,No,3-5 years,[-] Elevated trailing volatility | [-] Inconsistent hit rate
237,ICICI Prudential MNC Fund,Sectoral/ Thematic,14,16,Conservative,No,5+ years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
238,UTI Large Cap Fund,Large Cap Fund,21,31,Balanced,No,3-5 years,[-] Elevated trailing volatility | [-] Fund size acting as a drag
239,Mirae Asset Healthcare Fund,Sectoral/ Thematic,13,14,Conservative,No,5+ years,[-] Elevated trailing volatility | [-] Severe historical drawdown
240,Franklin India Flexi Cap Fund,Flexi Cap Fund,17,46,Balanced,No,3-5 years,[-] Fund size acting as a drag | [-] Relatively inexperienced manager
241,ICICI Prudential US Bluechip Equity Fund,Sectoral/ Thematic,11,4,Conservative,No,5+ years,[-] Elevated trailing volatility | [-] Relatively inexperienced manager
242,Union Flexi Cap Fund,Flexi Cap Fund,13,31,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
243,Motilal Oswal ELSS Tax Saver Fund,ELSS,16,44,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Fund size acting as a drag
244,CANARA ROBECO ELSS TAX SAVER,ELSS,12,22,Conservative,No,5+ years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
245,Nippon India Pharma Fund,Sectoral/ Thematic,10,13,Conservative,No,5+ years,[-] Relatively inexperienced manager | [-] Elevated trailing volatility
246,ICICI Prudential Banking and Financial Services Fund,Sectoral/ Thematic,9,97,Aggressive,No,1-3 years,[-] Fund size acting as a drag | [-] Expensive TER
247,Bandhan Large & Mid Cap Fund,Large & Mid Cap Fund,8,49,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Relatively inexperienced manager
248,SBI MIDCAP FUND,Mid Cap Fund,10,55,Balanced,No,3-5 years,[-] Relatively inexperienced manager | [+] Stable risk profile
249,ICICI Prudential Value Fund (erstwhile Value Discovery Fund),Value Fund,15,28,Conservative,No,5+ years,[-] Fund size acting as a drag | [-] Inconsistent hit rate
250,SBI TECHNOLOGY OPPORTUNITIES FUND,Sectoral/ Thematic,8,26,Conservative,No,5+ years,[-] Inconsistent hit rate | [-] Expensive TER
251,Edelweiss Large Cap Fund,Large Cap Fund,17,33,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
252,DSP ELSS Tax Saver Fund,ELSS,9,42,Balanced,No,3-5 years,[-] Relatively inexperienced manager | [-] Fund size acting as a drag
253,Tata India Consumer Fund,Sectoral/ Thematic,7,7,Conservative,No,5+ years,[-] Inconsistent hit rate | [-] Expensive TER
254,SBI ELSS Tax Saver FUND,ELSS,6,38,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Fund size acting as a drag
255,360 ONE Focused Fund,Focused Fund,24,39,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Severe historical drawdown
256,Tata Digital India Fund,Sectoral/ Thematic,6,42,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Fund size acting as a drag
257,CANARA ROBECO LARGE CAP FUND,Large Cap Fund,12,18,Conservative,No,5+ years,[-] Fund size acting as a drag | [-] Inconsistent hit rate
258,Mirae Asset Midcap Fund,Mid Cap Fund,5,44,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Fund size acting as a drag
259,ICICI Prudential Technology Fund,Sectoral/ Thematic,5,48,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Fund size acting as a drag
260,Union Focused Fund,Focused Fund,18,27,Conservative,No,5+ years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
261,PGIM India Flexi Cap Fund,Flexi Cap Fund,9,38,Balanced,No,3-5 years,[-] Inconsistent hit rate | [+] Supported by a management team
262,Franklin India Focused Equity Fund,Focused Fund,12,52,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Fund size acting as a drag
263,Nippon India Large Cap Fund,Large Cap Fund,8,54,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Relatively inexperienced manager
264,ICICI Prudential Commodities Fund,Sectoral/ Thematic,3,79,Aggressive,No,1-3 years,[-] Elevated trailing volatility | [-] Inconsistent hit rate
265,SBI CONTRA FUND,Contra Fund,33,42,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Fund size acting as a drag
266,quant Small Cap Fund,Small Cap Fund,11,73,Aggressive,No,1-3 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
267,Nippon India Small Cap Fund,Small Cap Fund,5,66,Aggressive,No,1-3 years,[-] Inconsistent hit rate | [-] Expensive TER
268,Mirae Asset ELSS Tax Saver Fund,ELSS,3,40,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Relatively inexperienced manager
269,Kotak Large & Midcap Fund,Large & Mid Cap Fund,4,36,Balanced,No,3-5 years,[-] Relatively inexperienced manager | [-] Elevated trailing volatility
270,Bandhan Value Fund,Value Fund,8,81,Aggressive,No,1-3 years,[-] Inconsistent hit rate | [-] Elevated trailing volatility
271,Franklin India Technology Fund,Sectoral/ Thematic,2,31,Balanced,No,3-5 years,[-] Relatively inexperienced manager | [-] Inconsistent hit rate
272,Aditya Birla Sun Life Digital India Fund,Sectoral/ Thematic,1,41,Balanced,No,3-5 years,[-] Inconsistent hit rate | [-] Relatively inexperienced manager
273,Aditya Birla Sun Life Large Cap Fund,Large Cap Fund,4,40,Balanced,No,3-5 years,[-] Relatively inexperienced manager | [-] Inconsistent hit rate
274,SBI FOCUSED FUND,Focused Fund,6,27,Conservative,No,5+ years,[-] Relatively inexperienced manager | [-] Inconsistent hit rate
275,Parag Parikh Flexi Cap Fund,Flexi Cap Fund,4,21,Conservative,No,5+ years,[-] Relatively inexperienced manager | [-] Fund size acting as a drag
